"WO/SO #","Customer","Invoice#","Outgoing Form#","Invoice Date"
"SO-20260331","Globe Machine Manufacturing Company Burelbach Industries","","",""
"SO-20260330","Acuitus Ag","","",""
"SO-20260332","The Imaging Source, LLC","","",""
"SO-20260333","ALM Positioners Inc.","","",""
"SO-20260334","Laserax","","",""
"SO-20260335","SenSen Networks","","",""
"SO-20260336","Tenneco","","",""
"SO-20260337","FK MACHINERY LIMITED","","",""
"SO-20260338","PaR Systems, LLC","","",""
"SO-20260340","Monteris Medical","","",""
"SO-20260339","Cognex Corporation","","",""
"SO-20260341","Intramotev Inc","","",""
"SO-20260350","Carnegie Robotics","","",""
"SO-20260343","COAST Automation","","",""
"SO-20260344","COAST Automation","","",""
"SO-20260345","COAST Automation","","",""
"SO-20260346","COAST Automation","","",""
"SO-20260347","COAST Automation","","",""
"SO-20260348","COAST Automation","","",""
"SO-20260349","COAST Automation","","",""
"SO-20260342","Neteon Technologies, Inc.","","",""
"SO-20260351","International Road Dynamics Inc.","","",""
"SO-20251627","COAST Automation","DS-20251295","EO2509-01",""
"SO-20250315","Aerflite Canada Inc.","DS-20250659","N/A",""
"SO-20250316","Aerflite Canada Inc.","DS-20250755","N/A",""
"SO-20250317","Aerflite Canada Inc.","DS-20250755","N/A",""
"SO-20250572","Keysight Technologies, Inc.","DS-20260231","N/A",""
"SO-20250573","Keysight Technologies, Inc.","DS-20260232","N/A",""
"SO-20250752","University of Illinois Urbana-Champaign","DS-20250570","N/A",""
"SO-20250859","GovSmart, Inc.","DS-20250622","N/A",""
"SO-20250861","GovSmart, Inc.","DS-20250624","N/A",""
"SO-20250862","Pave Mobility","DS-20250641","N/A",""
"SO-20250928","G&H | GS Optics","DS-20250687","N/A",""
"SO-20251479","Pave Mobility","DS-20251147","N/A",""
"SO-20251495","Honeywell International Inc","DS-20251320","N/A",""
"SO-20251496","Honeywell International Inc","DS-20260180","N/A",""
"SO-20251781","COAST Automation","DS-20260113","N/A",""
"SO-20251513","Keysight Technologies, Inc.","DS-20251171","No Outgoing#",""
"SO-20250454","Tek 84 Engineering Group","DS-20260055","O02601-053",""
"SO-20260226","Tenneco","DS-20260182","O2410-043",""
"SO-20250107","LensLock, Inc.","DS-20250310","O2503-100",""
"SO-20250406","Bluewater Autonomy","DS-20250468","O2504-004",""
"SO-20250704","Celestica Inc.","DS-20250533","O2504-069",""
"SO-20250362","Inficon Inc.","DS-20250417","O2504-089",""
"SO-20250654","COAST Automation","DS-20250501","O2505-033",""
"SO-20250659","Boston Scientific","DS-20250502","O2505-034",""
"SO-20250661","Visionary Technologies","DS-20250503","O2505-035",""
"SO-20250664","DigiKey","DS-20250504","O2505-036",""
"SO-20250568","Echodyne Corp","DS-20250505","O2505-037",""
"SO-20250559","Tenneco","DS-20250506","O2505-038",""
"SO-20250500","Aerflite Canada Inc.","DS-20250507","O2505-039",""
"SO-20250596","Qualcomm Technologies, Inc.","DS-20250508","O2505-040",""
"SO-20250607","Jet Stream Systems, Inc","DS-20250509","O2505-041",""
"SO-20250577","Peak WiFi, LLC","DS-20250510","O2505-042",""
"SO-20250657","HII Mission Technologies","DS-20250511","O2505-043",""
"SO-20250587","MicroDISC, Inc.","DS-20250512","O2505-044",""
"SO-20250592","Velasea","DS-20250513","O2505-045",""
"SO-20250653","Cogniac Corporation","DS-20250514","O2505-046",""
"SO-20250229","Celestica Inc.","DS-20250516","O2505-047",""
"SO-20250747","Lightning Pick","DS-20250564","O2505-048",""
"SO-20250516","Lightning Pick","DS-20250517","O2505-048",""
"SO-20250652","DEVCOM Army Research Laboratory","DS-20250518","O2505-049",""
"SO-20250684","Laserax","DS-20250521","O2505-050",""
"SO-20250682","Keysight Technologies, Inc.","DS-20250522","O2505-051",""
"SO-20250566","CLAAS of America","DS-20250523","O2505-052",""
"SO-20250585","Saronic Technologies","DS-20250524","O2505-053",""
"SO-20250544","Invision Ai, Inc","DS-20250525","O2505-054",""
"SO-20250618","Qualcomm Technologies, Inc.","DS-20250526","O2505-055",""
"SO-20250525","Raise Robotics","DS-20250527","O2505-056",""
"SO-20250500","Aerflite Canada Inc.","DS-20250528","O2505-057",""
"SO-20250528","Lightning Pick","DS-20250529","O2505-058",""
"SO-20250528","Lightning Pick","DS-20250529","O2505-058",""
"SO-20250700","General Technics Inc","DS-20250530","O2505-059",""
"SO-20250694","EmbedTek, LLC","DS-20250531","O2505-060",""
"SO-20250552","Aerflite Canada Inc.","DS-20250534","O2505-061",""
"SO-20250603","Physical Sciences Inc.","DS-20250535","O2505-062",""
"SO-20250685","Wilder Systems LLC","DS-20250536","O2505-063",""
